cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
2064,4.5,-0.5,68,29,2,0,0,3
841,5,0,70,30.5,2,0,0,3
732,5.5,1,65.5,27,2,0,0,3
1013,6.5,2.5,59,27,2,0,0,3
1066,7,3,57,24,2,0,0,3
913,7,3.5,55,22,2,0,0,3
969,7,4,55,18,1,0,0,3
1365,7,4.5,59,16,1,0,0,3
2638,7.5,4.5,64,16,2,0,0,3
1974,8,4.5,71,21.5,2,0,0,3
1254,9,5.5,71,27,3,0,0,3
885,10,6,69,31,3,0,0,3
537,10,6,71,38,7,0,0,3
344,9.5,5.5,76.5,39,7,0,0,3
188,10,6,79,40,26,0,0,3
91,10,6,82,40,7,0,0,3
66,11,11,79.5,40,26,0,0,3
25,11,11,82,44.5,26,0,0,3
23,11.5,11.5,79.5,45,7,0,0,3
23,11,11,77,37,26,0,0,3
62,10,6.5,79,31.5,7,0,0,3
481,9.5,5.5,73.5,29.5,7,0,0,3
1692,9,6,73.5,23,2,0,0,3
3673,9,6,66,21,1,0,0,3
1941,9,6,73.5,19.5,2,0,0,3
844,9,6,76,21,2,0,0,3
729,9,6,66,26,2,0,0,3
835,8.5,5,71,25,7,0,0,3
1005,9,5,64,32.5,2,0,0,3
828,9,5,60,30.5,2,0,0,3
912,9,5,52,36,2,0,0,3
1249,8,4,53,29,2,0,0,3
2524,7.5,3.5,55,29.5,2,0,0,3
2480,7,3,57,29.5,2,0,0,3
1353,8,4,51.5,29.5,2,0,0,3
810,7,2,51,34,2,0,0,3
591,6.5,1.5,57,32,1,0,0,3
430,6.5,1.5,59,33,2,0,0,3
301,7,3,57,29.5,1,0,0,3
208,7,3,53,31,1,0,0,3
117,7,3,53,27.5,1,0,0,3
71,6.5,2.5,59,22,1,0,0,3
59,6.5,2.5,59,25,1,0,0,3
46,6.5,3,55,20.5,1,0,0,3
88,6.5,3,55,20.5,1,0,0,3
471,7,4,55,18.5,1,0,0,3
1648,7,4.5,59,15,7,0,0,3
3546,7,4.5,61,15,3,0,0,3
1980,6,3,71,13,2,0,0,3
878,6.5,3.5,68.5,17,2,0,0,3
795,6,2.5,76,19.5,2,0,0,3
994,6,3,73.5,17,2,0,0,3
1122,7,4,68.5,15,2,0,0,3
941,7,4.5,66,15,2,0,0,3
1104,7,4,66,15,2,0,0,3
1149,6,2,68.5,23.5,7,0,0,3
2348,5.5,2.5,76,14,2,0,0,3
2002,5,1.5,73,16,3,0,0,3
1183,4,1,72.5,12,1,0,0,3
693,4,2,72.5,9,1,0,0,3
473,3,0,75,11,1,0,0,3
386,2.5,-1.5,72.5,15,1,0,0,3
361,2.5,-1,81,12,1,0,0,3
328,2,-2,81,13,1,0,1,3
220,2,-1.5,81,12,1,0,1,3
199,1,-3,81,14,1,0,1,3
144,1,-3,81,15,1,0,1,3
76,1,-2,81,10,1,0,1,3
68,0.5,-2.5,77.5,8,1,0,1,3
70,0.5,-3,77.5,10,1,0,1,3
154,1.5,-2.5,72.5,16,1,0,1,3
350,2.5,-1.5,67.5,15,1,0,1,3
682,3.5,-0.5,65,16,1,0,1,3
784,4,0,70,21,7,0,1,3
998,5,1.5,73,18.5,7,0,1,3
1360,6.5,3.5,73.5,17,2,0,1,3
1421,6,2.5,73.5,20.5,2,0,1,3
1531,7,4,66,17,2,0,1,3
1527,6,3,71,18,1,0,1,3
1257,6,3,71,15,1,0,1,3
997,5,2.5,76,10,1,0,1,3
765,5,2,76,13,1,0,1,3
719,5,2,76,12,1,0,1,3
525,5,3,81,9,1,0,1,3
415,5,2.5,76,10,1,0,1,3
328,5,3,76,7,2,0,1,3
350,5,2.5,78.5,9,7,0,1,3
383,5,3,76,7,2,0,1,3
268,5,3.5,76,6.5,7,0,1,3
268,5,3,81,8,7,0,1,3
140,4.5,3,84,6.5,7,0,1,3
73,4,4,87,0,7,0,1,3
53,4,3.5,90,5,7,0,1,3
54,4,3.5,90,5,7,0,1,3
97,4,3.5,87,5,7,0,1,3
210,4,3.5,93,5,2,0,1,3
406,4,2.5,90,6.5,7,0,1,3
693,4,2,87,9,7,0,1,3
906,4,1.5,84,9,4,0,1,3
1244,4,1,81,12,2,0,1,3
1401,4,1,81,12,2,0,1,3
1313,4,1,75,14,2,0,1,3
1450,4,1,75,13,2,0,1,3
1111,3,2,81,6,2,0,1,3
844,3,3,81,4,1,0,1,3
694,2,0,87,6.5,1,0,1,3
510,2,-0.5,87,8,1,0,1,3
370,1.5,0.5,87,5.5,1,0,1,3
265,1,1,87,4,1,0,1,3
249,1,1,87,4,1,0,1,3
197,0.5,-1.5,90,6,1,0,1,3
128,0,-3,93,8,1,0,0,3
57,0.5,-2.5,93,8,2,0,0,3
30,1,0,93,5.5,2,0,0,3
32,0.5,-0.5,93,3.5,2,0,0,3
36,0.5,-1,93,4.5,3,0,0,3
88,1,-1,93,6.5,3,0,0,3
472,1,-1,90,7,3,0,0,3
1695,1,-1,90,6.5,2,0,0,3
3554,2,-0.5,84,7.5,3,0,0,3
1828,2,-0.5,87,8,3,0,0,3
794,3,1,75,7.5,2,0,0,3
688,3.5,3,72.5,3,2,0,0,3
923,4,1.5,70,9,2,0,0,3
913,4,2,70,8,2,0,0,3
815,5,3.5,66,7.5,3,0,0,3
908,5,4,63.5,6,3,0,0,3
1257,4,2.5,67.5,6.5,3,0,0,3
2774,3.5,2.5,72.5,6,2,0,0,3
2543,3.5,2.5,72.5,6,3,0,0,3
1442,3.5,1.5,72.5,7,3,0,0,3
893,3,1.5,75,6.5,3,0,0,3
561,2.5,1.5,78,5.5,3,0,0,3
356,2,1,75,3,2,0,0,3
247,2,2,81,2,3,0,0,3
85,1,0,87,3,3,0,0,3
49,0.5,-1,90,6.5,1,0,0,3
40,0,-1,93,3,1,0,0,3
18,-0.5,-0.5,90,4,1,0,0,3
32,-1,-2,93,3,1,0,0,3
80,-0.5,-0.5,93,4,2,0,0,3
520,-1,-2,93,5,1,0,0,3
1791,-1,-3.5,96.5,6.5,1,0,0,3
3700,-0.5,-3.5,96.5,7,1,0,0,3
1818,0,-3,93,9,1,0,0,3
806,1,0,87,5,2,0,0,3
636,2.5,1,78,6,2,0,0,3
894,3.5,1,78,9,1,0,0,3
966,4.5,2,72.5,9,2,0,0,3
806,5,2,68,11,2,0,0,3
897,4,1,75,13,2,0,0,3
1287,4,1,78,13,3,0,0,3
2683,4,1,78,12,1,0,0,3
2624,4,1,75,12,1,0,0,3
1448,4,1,72.5,13,1,0,0,3
758,4,1,70,14,2,0,0,3
603,4,0.5,70,16,2,0,0,3
447,4,0.5,70,17.5,1,0,0,3
259,4,0,70,18.5,4,0,0,3
151,3.5,-0.5,72.5,18,4,0,0,3
70,3,-1.5,81,18.5,4,0,0,3
56,3,-1,81,19,3,0,0,3
24,3,-1,81,17,4,0,0,3
41,3,-1,84,16,7,0,0,3
81,3,-0.5,87,14,7,0,0,3
522,3,-1,87,18,7,0,0,3
1656,3,-1,87,18,3,0,0,3
3655,3,-1,87,18,3,0,0,3
1976,3,-1,87,18,3,0,0,3
821,3,-1,87,17,3,0,0,3
666,3,-1,87,16,3,0,0,3
805,3,-1,87,17,7,0,0,3
821,3.5,0,84,16,3,0,0,3
701,3,-1,87,17,4,0,0,3
759,3,-1,87,18,4,0,0,3
1217,3,-1,87,16,4,0,0,3
2503,3,-0.5,84,14,4,0,0,3
2511,3,0,87,11,4,0,0,3
1359,3,0,87,13,7,0,0,3
890,3,0.5,81,9,4,0,0,3
666,3,2,81,6,4,0,0,3
480,3,2,81,6,3,0,0,3
351,3,2.5,81,3,1,0,0,3
138,2.5,2.5,84,2,1,0,0,3
81,2,2,87,2,2,0,0,3
54,2,2,87,2,3,0,0,3
37,2,1,87,5.5,4,0,0,3
39,2,1,87,5,3,0,0,3
89,2,1,87,5,3,0,0,3
512,2,2,84,2,3,0,0,3
1677,2,2,81,2,3,0,0,3
3828,2,1,81,5,3,0,0,3
1911,2.5,2.5,78,2,3,0,0,3
789,4,1.5,70,9,3,0,0,3
713,4,1.5,67.5,10,3,0,0,3
914,5,2,59,13,2,0,0,3
935,5,2,57,13,2,0,0,3
867,4.5,1.5,59,14,2,0,0,3
885,4,1,61,13,2,0,0,3
1328,4,1,63,12,3,0,0,3
2457,3.5,0.5,63,12,3,0,0,3
2422,3,0,65,9,3,0,0,3
1350,2,0,70,6.5,2,0,0,3
850,2,0,70,6.5,1,0,0,3
640,0,-2,80,6,1,0,0,3
438,0,0,80,2,1,0,0,3
324,0,-1,80,3,1,0,0,3
171,-0.5,-2,86.5,5.5,1,0,0,3
96,-1,-3,86,6,1,0,0,3
58,-1,-3,86,6,4,0,0,3
41,-0.5,-1.5,83,5,3,0,0,3
31,-1,-2,86,5,3,0,0,3
80,-1,-3,86,6,4,0,0,3
426,-1.5,-2.5,89.5,5,1,0,0,3
1494,-1,-3.5,86,6.5,1,0,0,3
3328,-0.5,-3.5,83,7,1,0,0,3
1839,0.5,-2,84,6.5,1,0,0,3
894,2,-0.5,75,7.5,1,0,0,3
794,3.5,0.5,67.5,12,1,0,0,3
1084,4.5,1,65.5,16.5,1,0,0,3
1053,5,1.5,66,17.5,1,0,0,3
1005,5,1,66,19.5,1,0,0,3
1002,5,2,66,17,1,0,0,3
1421,4,1,75,12,1,0,0,3
2388,4,1,75,14,1,0,0,3
1946,4.5,1.5,78.5,14,2,0,0,3
1126,6,2.5,76,18.5,2,0,0,3
687,6.5,2.5,78.5,24,2,0,0,3
421,7,4,87,20,7,0,0,3
208,7.5,3.5,87,23,7,0,0,3
299,8,4,87,24,7,0,0,3
186,8,4.5,93,22.5,7,0,1,3
141,9,6,90.5,18,7,0,1,3
142,7,4,87,18.5,26,0,1,3
121,6.5,3.5,81,18,3,0,1,3
70,6,2.5,76,18.5,2,0,1,3
61,5.5,1.5,73.5,24,1,0,1,3
76,5,1,76,19,1,0,1,3
142,4,1,81,14,1,0,1,3
318,4.5,1,75.5,16,1,0,1,3
723,5,1.5,70,18,1,0,1,3
1086,5.5,1.5,68,24,1,0,1,3
1411,6,2,66,24,1,0,1,3
1636,6,2,61,24,1,0,1,3
1769,7,3.5,61,22,1,0,1,3
1796,7,4,61,20,2,0,1,3
1798,7,3,61,22,1,0,1,3
1597,6.5,3.5,63.5,17,1,0,1,3
1226,6,3,66,15,1,0,1,3
837,5.5,2.5,68,13,1,0,1,3
709,5,2,68,14,1,0,1,3
526,4.5,1.5,70,13,1,0,1,3
393,4,1,72.5,13,1,0,1,3
401,3.5,0.5,75,13,1,0,1,3
374,3,-0.5,81,13,1,0,1,3
347,3,0,81,13,1,0,1,3
261,2,-1.5,87,12,1,0,1,3
216,2,-1,81,10,1,0,1,3
162,2,-2,87,14,1,0,1,3
107,2,-2,84,13,1,0,1,3
70,2,-1.5,87,12,1,0,1,3
83,2,-2,87,13,1,0,1,3
108,2,-2,87,15,1,0,1,3
226,3,-0.5,81,15,1,0,1,3
529,3.5,0.5,78,13,3,0,1,3
857,5,2,70,15,4,0,1,3
1195,6.5,4,68.5,13,4,0,1,3
1478,8.5,5.5,62,19.5,3,0,1,3
1705,8,5,66,18,3,0,1,3
1519,9,6,66,22,3,0,1,3
1477,8,5,71,21,3,0,1,3
1238,8,5,71,18,3,0,1,3
875,8,5,71,19.5,3,0,1,3
810,8,5,73.5,19.5,3,0,1,3
566,8,5,76,19.5,3,0,1,3
423,8,5,76,18.5,3,0,1,3
335,8,5,82,18.5,4,0,1,3
297,8,5,82,18,4,0,1,3
210,8,5,82,18,4,0,1,3
115,8,5,87,19,7,0,0,3
74,8.5,5.5,87,18,4,0,0,3
34,9,6,87,21.5,4,0,0,3
33,9,6,87,19.5,4,0,0,3
47,9,6.5,87,16,3,0,0,3
88,9.5,7,84.5,17,3,0,0,3
472,10,7.5,82,18.5,7,0,0,3
1619,10,7.5,88,18.5,3,0,0,3
3589,10,8,85,18,3,0,0,3
1844,10.5,9,85,19.5,3,0,0,3
603,10,7.5,85,16.5,7,0,0,3
621,10,7,71.5,23,3,0,0,3
841,10,7,62.5,24,2,0,0,3
884,9,6,64,19.5,3,0,0,3
796,9,6,60,22,2,0,0,3
904,8,4.5,62,23,2,0,0,3
1319,8,4.5,62,21.5,2,0,0,3
2723,8,5,62,19,2,0,0,3
2509,7.5,4.5,64,18,1,0,0,3
1457,7,4,66,20,1,0,0,3
941,7,4,66,17,1,0,0,3
550,6.5,3.5,68.5,17,1,0,0,3
433,6,3,76,14,1,0,0,3
214,6,3,76,15,1,0,0,3
133,5.5,2.5,76,14,1,0,0,3
69,5,2,78.5,15,1,0,0,3
30,5,2,76,14,1,0,0,3
33,5,2,76,12,1,0,0,3
43,5,2,76,12,1,0,0,3
88,5.5,2.5,78.5,13,1,0,0,3
571,6,3.5,76,12,1,0,0,3
1913,6,3,76,15,1,0,0,3
3835,5.5,2.5,78.5,15,1,0,0,3
1900,6.5,3.5,73.5,15,2,0,0,3
874,7,4,73.5,18,2,0,0,3
763,8,5,71,19,2,0,0,3
999,9,6,66,17,2,0,0,3
977,9,6,66,19.5,3,0,0,3
866,9,6,68.5,19,3,0,0,3
976,8,5.5,71,16,3,0,0,3
1346,8,6,71,11,3,0,0,3
2724,8,7,71,7,3,0,0,3
2750,8,6,71,11,3,0,0,3
1539,8,4.5,71,22,3,0,0,3
1001,8,5,64,19.5,3,0,0,3
642,8,5,66,18,4,0,0,3
566,7,4,71,15,4,0,0,3
362,7,4,71,18,4,0,0,3
190,7,4,73.5,19.5,3,0,0,3
78,7,3,76,23,3,0,0,3
57,7,3,76,22,4,0,0,3
59,7,3,81,25,4,0,0,3
39,8,4.5,76,22,4,0,0,3
99,8,4.5,82,23,4,0,0,3
575,9,5.5,79,24,3,0,0,3
1536,9,6,87,24,7,0,0,3
3576,10,7,88,24,3,0,0,3
1788,10,7,88,29,7,0,0,3
522,10.5,9,91,32.5,7,0,0,3
558,10.5,8.5,67,40,2,0,0,3
624,7.5,2.5,73.5,41.5,7,0,0,3
629,6.5,1.5,71,38,7,0,0,3
665,7,2,59,37,2,0,0,3
823,6.5,1.5,55,37,2,0,0,3
1269,6,1,53,34,2,0,0,3
2426,5.5,0.5,53,33.5,1,0,0,3
2377,5,0,53,31.5,1,0,0,3
1413,5,0.5,57,26,1,0,0,3
854,4,-1,63,27,1,0,0,3
652,4,-1,65,29,1,0,0,3
451,4,-1,65,29,1,0,0,3
276,3.5,-1.5,72.5,28,1,0,0,3
122,3,-2,75,26,2,0,0,3
106,3,-3,78,30,2,0,0,3
34,3,-3,75,30,1,0,0,3
38,3,-2.5,75,29.5,2,0,0,3
33,3,-2,75,28,1,0,0,3
76,3,-2,75,28,1,0,0,3
529,3,-2,81,22,1,0,0,3
1760,3,-2,81,21,2,0,0,3
3783,3,-2,81,24,2,0,0,3
1905,4.5,-0.5,72.5,26,2,0,0,3
811,5.5,1,68,27,2,0,0,3
700,6,1,63.5,35,3,0,0,3
889,6,1,61,30.5,3,0,0,3
894,6.5,1.5,59,31.5,2,0,0,3
757,6.5,1.5,59,31.5,3,0,0,3
580,4.5,-0.5,78.5,28.5,7,0,0,3
922,4,-0.5,75.5,25,7,0,0,3
1984,3,-1.5,75,20.5,2,0,0,3
2076,3,-1.5,75,19.5,2,0,0,3
1237,3,-2,75,26,2,0,0,3
770,3,-2,72.5,26,2,0,0,3
525,2.5,-2.5,81,23,26,0,0,3
430,2.5,-2.5,78,24,3,0,0,3
314,3,-2,75,25,3,0,0,3
190,3,-2,75,24,3,0,0,3
80,3,-2,81,22,7,0,0,3
79,3,-1,81,17,7,0,0,3
60,3.5,-0.5,75.5,17,1,0,0,3
45,4,0,78,19.5,7,0,0,3
74,3,-0.5,87,15,26,0,0,3
426,3,0.5,93,9,26,0,0,3
1388,2.5,0,90,9,26,0,0,3
3090,2,-2.5,90,18.5,3,0,0,3
1667,2,-2.5,87,16,3,0,0,3
766,2.5,-1.5,84,16,3,0,0,3
762,4,0,75,18.5,2,0,0,3
967,5.5,1.5,73.5,20,2,0,0,3
923,6,2,66,23,3,0,0,3
849,6,2,71,21,3,0,0,3
911,6,2.5,71,19.5,3,0,0,3
1452,6,2.5,71,16.5,2,0,0,3
2350,5.5,2.5,70.5,17,2,0,0,3
1940,5.5,1.5,66,19.5,1,0,0,3
1131,4.5,1.5,68,14,2,0,0,3
734,5,1.5,68,17,1,0,0,3
506,4,0.5,72.5,16.5,1,0,0,3
384,3,-0.5,81,16,1,0,0,3
397,3,-1,75,18,1,0,0,3
379,2,-2,81,16,1,0,1,3
281,2,-2.5,81,17.5,1,0,1,3
252,2,-3,81,19.5,1,0,1,3
163,1,-3.5,87,17,1,0,1,3
96,2,-2.5,81,18,3,0,1,3
80,2,-2.5,87,18,26,0,1,3
62,2,-2,93,17,3,0,1,3
129,3,-1,87,16,26,0,1,3
182,3,-1,87,15,7,0,1,3
468,3,-1,87,16,7,0,1,3
705,3,-1,87,15,3,0,1,3
926,4,0,81,18.5,3,0,1,3
816,4,0,81,18.5,7,0,1,3
409,3,-1,87,18,7,0,1,3
521,3.5,-0.5,90,19.5,7,0,1,3
632,5,1,78.5,21.5,7,0,1,3
795,5,0,70,29,3,0,1,3
840,5,1,70,24,7,0,1,3
635,5,1,68,22,7,0,1,3
565,5,0.5,63.5,26,4,0,1,3
447,5,0.5,59,24,4,0,1,3
305,4.5,-0.5,61,27,3,0,1,3
276,4,-1,61,24,4,0,1,3
286,4,-1,61,26,4,0,1,3
273,4,-1,61,27,2,0,1,3
246,2.5,-3,78.5,28,26,0,1,3
156,2,-3,87,23,7,0,1,3
83,2,-3,87,22,26,0,1,3
59,2.5,-2.5,84,25,7,0,1,3
43,4,-1,67.5,28,4,0,1,3
